Id, Latitude, Longitude, X, Y
1433679303,39.6266852,52.5737662,4411222.41828935,6870586.49395045
1433679355,39.6337231,52.5730925,4412005.8737336,6870463.39985425
1433697078,39.6379573,52.573936,4412477.22272152,6870617.51900547
1433697490,39.6383983,52.5739357,4412526.31461696,6870617.46419078
1433731872,39.6402852,52.5739159,4412736.36336414,6870613.84642198
1433736511,39.6417043,52.5738989,4412894.33685352,6870610.74025817
1433736513,39.6205886,52.5694709,4410543.74788178,6869801.71715107
1433736514,39.6202775,52.5706838,4410509.11638819,6870023.31335161
1433736517,39.6202238,52.570286,4410503.13853154,6869950.63481927
1433736525,39.6201541,52.5705958,4410495.37956303,6870007.23559005
1433736529,39.6467117,52.5738042,4413451.75807172,6870593.43712071
1433736535,39.620142,52.5705024,4410494.03259719,6869990.17127404
1433736539,39.64514,52.5738577,4413276.79722804,6870603.21238382
1433736566,39.6413744,52.5739029,4412857.61255351,6870611.47112013
1434057532,39.6295093,52.5732725,4411536.7956633,6870496.28810119
1434057590,39.6298037,52.5735631,4411569.56812139,6870549.38463508
1434057659,39.6301858,52.5726708,4411612.10329882,6870386.35053146
1434057681,39.6299926,52.5723578,4411590.5963732,6870329.1624001
1434057830,39.6295581,52.5731273,4411542.22805445,6870469.75823808
1434057884,39.6299867,52.5724672,4411589.9395882,6870349.15079299
1434057917,39.6279563,52.5749595,4411363.9164941,6870804.53065487
1434058026,39.6300189,52.572953,4411593.52407581,6870437.9115562
1434058063,39.629483,52.5731957,4411533.86796069,6870482.2557659
1434078168,39.6226319,52.5905843,4410771.20699732,6873660.00431378
1434078172,39.6212912,52.5877974,4410621.96095601,6873150.6159824
1434078198,39.6237203,52.5909613,4410892.3671311,6873728.91470451
1434078202,39.6265967,52.5906458,4411212.56651441,6873671.24562333
1434078216,39.6238785,52.5910509,4410909.97787454,6873745.29243407
1434078234,39.6246885,52.5909189,4411000.14666208,6873721.16454065
1434078240,39.6251804,52.5899125,4411054.9047196,6873537.21003327
1434078255,39.6249364,52.5908527,4411027.74276385,6873709.06406402
1434078274,39.6251214,52.5908446,4411048.33686965,6873707.58349337
1434078322,39.6215434,52.5876475,4410650.03573159,6873123.21825026
